Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
Q8BM88	CATO_MOUSE	Ctso	Cathepsin O	2	2		1.76E+06	1.57E+06	1.72E+06	1.98E+06	1.90E+06	1.78E+06
Q8BM92	CADH7_MOUSE	Cdh7	Cadherin-7	4	4	4.00E+06	2.55E+06	2.66E+06	1.51E+06	2.58E+06	2.64E+06	3.65E+06
Q8BMA5	NPAT_MOUSE	Npat	Protein NPAT	2	2			111320		158222		
Q8BMA6	SRP68_MOUSE	Srp68	Signal recognition particle subunit SRP68	39	39	2.58E+07	2.43E+07	2.56E+07	1.79E+07	2.81E+07	2.88E+07	2.86E+07
Q8BMB0-3	EMSY_MOUSE	Emsy	Isoform 3 of BRCA2-interacting transcriptional repressor EMSY	23	23	732913	582651	656955	492434	698731	764813	584441
Q8BMB3	IF4E2_MOUSE	Eif4e2	Eukaryotic translation initiation factor 4E type 2	12	12	3.64E+06	3.71E+06	4.13E+06	2.19E+06	3.50E+06	3.93E+06	3.65E+06
Q8BMC3	SHC2_MOUSE	Shc2	SHC-transforming protein 2	14	13	1.42E+06	1.31E+06	1.28E+06	906841	1.39E+06	1.61E+06	1.63E+06
Q8BMC4	NOP9_MOUSE	Nop9	Nucleolar protein 9	3	3	299985	215066	178186	184332	313286	282679	278994
Q8BMD5;Q8BMD5-2;Q8BMD5-3;Q8BMD5-4	CDAC1_MOUSE	Cdadc1	Cytidine and dCMP deaminase domain-containing protein 1	7	7	1.09E+06	2.13E+06	1.59E+06	1.08E+06	1.97E+06	2.04E+06	2.15E+06
Q8BMD6;Q8BMD6-2	TM260_MOUSE	Tmem260	Transmembrane protein 260	6	6	300217	197113	247412	128461	275358	274559	298148
Q8BMD8	SCMC1_MOUSE	Slc25a24	Calcium-binding mitochondrial carrier protein SCaMC-1	18	18	2.91E+06	3.74E+06	4.07E+06	2.64E+06	4.38E+06	4.68E+06	5.24E+06
Q8BME9	CBLN4_MOUSE	Cbln4	Cerebellin-4	4	4	523064	520194	506236	272918	347513	629820	601174
Q8BMF3	MAON_MOUSE	Me3	"NADP-dependent malic enzyme, mitochondrial"	32	31	3.52E+07	3.85E+07	3.26E+07	2.73E+07	4.35E+07	3.77E+07	4.35E+07
Q8BMF4	ODP2_MOUSE	Dlat	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	31	31	6.19E+08	6.13E+08	6.07E+08	5.11E+08	6.78E+08	6.90E+08	6.83E+08
Q8BMF5	GRIK4_MOUSE	Grik4	"Glutamate receptor ionotropic, kainate 4"	7	7	1.01E+07	1.45E+07	1.32E+07	1.09E+07	1.51E+07	1.44E+07	1.45E+07
Q8BMG1	ATRIP_MOUSE	Atrip	ATR-interacting protein	1	1		4172.57			3538.27	5304.52	6816.1
Q8BMG7	RBGPR_MOUSE	Rab3gap2	Rab3 GTPase-activating protein non-catalytic subunit	63	63	3.63E+07	3.64E+07	3.73E+07	2.62E+07	3.91E+07	3.91E+07	3.98E+07
Q8BMG8	MFTC_MOUSE	Slc25a32	Mitochondrial folate transporter/carrier	9	9	3.54E+06	3.43E+06	3.76E+06	2.70E+06	3.84E+06	3.99E+06	3.82E+06
Q8BMI0	FBX38_MOUSE	Fbxo38	F-box only protein 38	25	25	1.95E+06	1.91E+06	1.84E+06	1.37E+06	1.97E+06	2.35E+06	2.23E+06
Q8BMI3	GGA3_MOUSE	Gga3	ADP-ribosylation factor-binding protein GGA3	26	25	3.44E+07	3.21E+07	3.41E+07	2.32E+07	3.39E+07	3.67E+07	3.66E+07
Q8BMJ2	SYLC_MOUSE	Lars1	"Leucine--tRNA ligase, cytoplasmic"	69	69	1.03E+08	1.07E+08	1.04E+08	7.60E+07	1.11E+08	1.15E+08	1.15E+08
Q8BMJ3	IF1AX_MOUSE	Eif1ax	"Eukaryotic translation initiation factor 1A, X-chromosomal"	8	3	1.38E+07	1.33E+07	1.37E+07	1.04E+07	1.52E+07	1.53E+07	1.47E+07
Q8BMJ7	CGRF1_MOUSE	Cgrrf1	Cell growth regulator with RING finger domain protein 1	2	2	19946.3	18287.8	22045.8		20859.8		9709.96
Q8BMK1	METL2_MOUSE	Mettl2	tRNA N(3)-methylcytidine methyltransferase METTL2	6	6	985069	750942	847498	643426	811945	1.01E+06	711844
Q8BMK4	CKAP4_MOUSE	Ckap4	Cytoskeleton-associated protein 4	37	37	2.44E+07	2.33E+07	2.62E+07	1.69E+07	2.70E+07	2.68E+07	2.76E+07
Q8BML1;Q8BML1-5;Q8BML1-7	MICA2_MOUSE	Mical2	[F-actin]-monooxygenase MICAL2	26	26	4.10E+07	3.12E+07	3.42E+07	2.54E+07	2.95E+07	3.17E+07	3.51E+07
Q8BML9	SYQ_MOUSE	Qars1	Glutamine--tRNA ligase	42	42	1.13E+07	1.15E+07	1.16E+07	8.50E+06	1.29E+07	1.25E+07	1.35E+07
Q8BMN4	LMLN_MOUSE	Lmln	Leishmanolysin-like peptidase	14	14	1.36E+06	1.31E+06	1.31E+06	784580	1.49E+06	1.57E+06	1.30E+06
Q8BMP6	GCP60_MOUSE	Acbd3	Golgi resident protein GCP60	20	20	4.15E+06	3.70E+06	4.02E+06	2.16E+06	3.51E+06	4.40E+06	4.10E+06
Q8BMQ2	TF3C4_MOUSE	Gtf3c4	General transcription factor 3C polypeptide 4	22	22	7.99E+07	7.51E+07	7.35E+07	4.82E+07	7.94E+07	8.11E+07	7.73E+07
Q8BMQ8	MON1B_MOUSE	Mon1b	Vacuolar fusion protein MON1 homolog B	19	18	3.30E+06	3.01E+06	3.34E+06	2.40E+06	3.83E+06	4.33E+06	4.12E+06
Q8BMS1	ECHA_MOUSE	Hadha	"Trifunctional enzyme subunit alpha, mitochondrial"	40	40	7.51E+07	7.94E+07	7.45E+07	5.69E+07	8.68E+07	8.80E+07	9.11E+07
Q8BMS4	COQ3_MOUSE	Coq3	"Ubiquinone biosynthesis O-methyltransferase, mitochondrial"	13	13	1.94E+07	2.23E+07	1.97E+07	1.45E+07	2.21E+07	2.35E+07	2.34E+07
Q8BMS9	RASF2_MOUSE	Rassf2	Ras association domain-containing protein 2	12	11	1.75E+07	1.70E+07	1.66E+07	1.24E+07	1.96E+07	2.05E+07	2.11E+07
Q8BMZ5	SEN34_MOUSE	Tsen34	tRNA-splicing endonuclease subunit Sen34	5	5	902119	736135	887287	744876	814468	1.31E+06	975366
Q8BN57	CC033_MOUSE		Protein C3orf33 homolog	8	8	3.37E+06	2.76E+06	2.86E+06	1.86E+06	2.60E+06	2.95E+06	2.89E+06
Q8BN59	LARP6_MOUSE	Larp6	La-related protein 6	20	20	8.63E+06	8.60E+06	7.55E+06	5.86E+06	9.10E+06	8.64E+06	8.17E+06
Q8BN78	KAISO_MOUSE	Zbtb33	Transcriptional regulator Kaiso	1	1	114951			72135.1	164576		249507
Q8BN82-2	S17A5_MOUSE	Slc17a5	Isoform 2 of Sialin	3	3	1.01E+06	832196	1.05E+06	588138	931967	938292	983651
Q8BNA6	FAT3_MOUSE	Fat3	Protocadherin Fat 3	33	33	1.40E+07	1.20E+07	1.27E+07	7.52E+06	1.25E+07	1.33E+07	1.29E+07
Q8BND3;Q8BND3-2	WDR35_MOUSE	Wdr35	WD repeat-containing protein 35	23	23	2.59E+06	3.20E+06	2.75E+06	2.23E+06	3.71E+06	4.19E+06	4.36E+06
Q8BND5;Q8BND5-2	QSOX1_MOUSE	Qsox1	Sulfhydryl oxidase 1	9	9	2.19E+06	2.73E+06	1.85E+06	2.06E+06	2.83E+06	2.63E+06	3.86E+06
Q8BNE1	TCAF1_MOUSE	Tcaf1	TRPM8 channel-associated factor 1	24	24	7.09E+06	6.88E+06	6.85E+06	4.43E+06	6.77E+06	7.46E+06	7.74E+06
Q8BNI4;Q8BNI4-2	DERL2_MOUSE	Derl2	Derlin-2	1	0					1.22E+06		
Q8BNJ2	ATS4_MOUSE	Adamts4	A disintegrin and metalloproteinase with thrombospondin motifs 4	3	3	145513	116614	93695.3	135243	189290	119000	96793.6
Q8BNJ3	NMNA2_MOUSE	Nmnat2	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2	4	4	687258	595322	702206	615979	888784	870439	697781
Q8BNJ6;Q8BNJ6-2	NETO2_MOUSE	Neto2	Neuropilin and tolloid-like protein 2	18	18	2.02E+07	1.65E+07	2.32E+07	1.19E+07	1.71E+07	2.31E+07	2.27E+07
Q8BNL5	KCTD6_MOUSE	Kctd6	BTB/POZ domain-containing protein KCTD6	9	9	2.19E+07	2.46E+07	2.44E+07	1.93E+07	2.18E+07	2.82E+07	2.52E+07
Q8BNN1	SPA2L_MOUSE	Spata2l	Spermatogenesis-associated protein 2-like protein	11	11	2.24E+08	2.15E+08	1.92E+08	1.71E+08	2.57E+08	2.44E+08	2.39E+08
Q8BNU0	ARMC6_MOUSE	Armc6	Armadillo repeat-containing protein 6	24	24	2.53E+07	2.42E+07	2.41E+07	1.80E+07	2.40E+07	2.66E+07	2.60E+07
Q8BNV1	TRM2A_MOUSE	Trmt2a	tRNA (uracil-5-)-methyltransferase homolog A	14	14	1.81E+06	2.40E+06	1.81E+06	1.35E+06	2.55E+06	2.25E+06	2.12E+06
Q8BNW9	KBTBB_MOUSE	Kbtbd11	Kelch repeat and BTB domain-containing protein 11	38	38	3.92E+07	4.01E+07	3.51E+07	3.15E+07	4.28E+07	4.48E+07	4.46E+07
Q8BNY6	NCS1_MOUSE	Ncs1	Neuronal calcium sensor 1	14	14	5.88E+07	6.14E+07	5.83E+07	4.60E+07	5.92E+07	6.98E+07	5.96E+07
Q8BP00	IQCB1_MOUSE	Iqcb1	IQ calmodulin-binding motif-containing protein 1	18	18	3.70E+06	3.89E+06	4.20E+06	2.50E+06	3.98E+06	4.54E+06	4.54E+06
Q8BP22	CBAR1_MOUSE	Cibar1	CBY1-interacting BAR domain-containing protein 1	5	5	1.85E+06	1.88E+06	1.77E+06	911311	1.43E+06	2.15E+06	1.85E+06
Q8BP27;Q8BP27-2	SFR1_MOUSE	Sfr1	Swi5-dependent recombination DNA repair protein 1 homolog	13	13	1.62E+06	1.90E+06	1.78E+06	1.05E+06	1.68E+06	1.98E+06	2.06E+06
Q8BP40	PPA6_MOUSE	Acp6	Lysophosphatidic acid phosphatase type 6	17	17	3.51E+07	3.78E+07	3.61E+07	2.62E+07	3.68E+07	4.18E+07	4.09E+07
Q8BP47	SYNC_MOUSE	NARS1	"Asparagine--tRNA ligase, cytoplasmic"	33	33	8.12E+07	8.44E+07	8.05E+07	6.34E+07	9.31E+07	8.64E+07	9.21E+07
Q8BP48	MAP11_MOUSE	Metap1	Methionine aminopeptidase 1	20	20	1.15E+07	1.06E+07	1.14E+07	8.66E+06	1.52E+07	1.39E+07	1.49E+07
Q8BP56;Q8BP56-3	PGGHG_MOUSE	Pgghg	Protein-glucosylgalactosylhydroxylysine glucosidase	12	12	5.09E+06	6.01E+06	5.18E+06	3.53E+06	5.90E+06	5.60E+06	6.01E+06
Q8BP67	RL24_MOUSE	Rpl24	60S ribosomal protein L24	9	9	7.06E+07	7.07E+07	6.96E+07	4.75E+07	7.04E+07	8.07E+07	7.91E+07
Q8BP71;Q8BP71-2;Q8BP71-3;Q8BP71-7;Q8BP71-8	RFOX2_MOUSE	Rbfox2	RNA binding protein fox-1 homolog 2	6	3	9.09E+07	9.07E+07	8.02E+07	7.37E+07	9.41E+07	1.03E+08	1.02E+08
Q8BP74	PSTK_MOUSE	Pstk	L-seryl-tRNA(Sec) kinase	5	5	954375	879776	815699	508270	1.04E+06	723753	1.07E+06
Q8BP78	F10C1_MOUSE	Fra10ac1	Protein FRA10AC1 homolog	8	8	2.16E+06	2.25E+06	2.76E+06	1.42E+06	2.96E+06	2.54E+06	2.94E+06
Q8BP92	RCN2_MOUSE	Rcn2	Reticulocalbin-2	18	18	1.92E+07	1.93E+07	2.10E+07	1.16E+07	1.96E+07	2.19E+07	2.53E+07
Q8BP97	RHBD3_MOUSE	Rhbdd3	Rhomboid domain-containing protein 3	2	2	8475.17	27605.2	25033.8	17210.7	22515.6	15049.3	18076.6
Q8BP99	CA216_MOUSE		UPF0500 protein C1orf216 homolog	4	4		48423.3		42880.5	113151	51221	53097.3
Q8BPA8	DPCD_MOUSE	Dpcd	Protein DPCD	7	7	1.78E+06	1.63E+06	1.69E+06	1.27E+06	1.91E+06	2.06E+06	1.63E+06
Q8BPB0;Q921Y0	MOB1A_MOUSE;MOB1B_MOUSE	Mob1a;Mob1b	MOB kinase activator 1B	5	0	4.89E+06	4.53E+06	4.20E+06	3.39E+06	5.48E+06	5.00E+06	5.51E+06
Q8BPB5	FBLN3_MOUSE	Efemp1	EGF-containing fibulin-like extracellular matrix protein 1	8	8	48879.8	57765.5	55099.9	40582.2	60714.5	50788.7	75902.7
Q8BPE4	TM177_MOUSE	Tmem177	Transmembrane protein 177	11	11	3.89E+06	3.63E+06	3.50E+06	2.65E+06	3.88E+06	3.68E+06	3.86E+06
Q8BPG6	SUMF2_MOUSE	Sumf2	Inactive C-alpha-formylglycine-generating enzyme 2	8	8	4.05E+06	4.35E+06	4.60E+06	2.59E+06	5.48E+06	5.51E+06	6.00E+06
Q8BPI1;Q8BPI1-2	KTU_MOUSE	Dnaaf2	Protein kintoun	2	2	7355.86	10565.6	14801.8	13381.5	14172.6	8964.03	14656.6
Q8BPM0	DAAM1_MOUSE	Daam1	Disheveled-associated activator of morphogenesis 1	54	44	2.83E+07	2.81E+07	2.72E+07	2.08E+07	2.87E+07	3.08E+07	2.94E+07
Q8BPM2	M4K5_MOUSE	Map4k5	Mitogen-activated protein kinase kinase kinase kinase 5	23	23	4.95E+06	5.51E+06	5.15E+06	4.03E+06	5.99E+06	5.72E+06	5.76E+06
Q8BPM6	RIC3_MOUSE	Ric3	Protein RIC-3	5	5	2.38E+06	2.09E+06	2.00E+06	1.39E+06	2.57E+06	1.78E+06	3.34E+06
Q8BPN8;Q8BPN8-2	DMXL2_MOUSE	Dmxl2	DmX-like protein 2	169	166	7.47E+07	7.50E+07	7.60E+07	5.35E+07	7.63E+07	8.17E+07	7.83E+07
Q8BPP5	LYPD6_MOUSE	Lypd6	Ly6/PLAUR domain-containing protein 6	4	4	339984	272138	333436	167450	229045	275354	349995
Q8BPQ7	SGSM1_MOUSE	Sgsm1	Small G protein signaling modulator 1	36	33	1.49E+07	1.54E+07	1.60E+07	9.59E+06	1.53E+07	1.72E+07	1.64E+07
Q8BPS4	GP180_MOUSE	Gpr180	Integral membrane protein GPR180	2	2	17880.5	17676.1	21456.2	8741.29	19199.6	21313.3	20234.1
Q8BPT6	IMP2L_MOUSE	Immp2l	Mitochondrial inner membrane protease subunit 2	2	2	298465	314294	270824	263997	268894	273695	402407
Q8BPU7	ELMO1_MOUSE	Elmo1	Engulfment and cell motility protein 1	37	30	2.38E+07	2.17E+07	2.09E+07	1.75E+07	2.60E+07	2.62E+07	2.45E+07
Q8BPZ8	ABRX1_MOUSE	Abraxas1	BRCA1-A complex subunit Abraxas 1	1	1	720917	654066	1.02E+06		775906	913404	891024
Q8BQ30	PPR18_MOUSE	Ppp1r18	Phostensin	9	9	3.11E+06	4.07E+06	3.87E+06	2.90E+06	3.85E+06	3.89E+06	4.24E+06
Q8BQ47	CNPY4_MOUSE	Cnpy4	Protein canopy homolog 4	8	8	7.47E+06	8.82E+06	7.86E+06	4.86E+06	8.94E+06	8.44E+06	7.94E+06
Q8BQ89	LIX1L_MOUSE	Lix1l	LIX1-like protein	2	2	396241	205285	334944	90227.4	76762.8	293447	
Q8BQM4	HEAT3_MOUSE	Heatr3	HEAT repeat-containing protein 3	16	16	1.64E+06	1.79E+06	1.54E+06	1.40E+06	1.66E+06	2.14E+06	1.95E+06
Q8BQM7	SMCO3_MOUSE	Smco3	Single-pass membrane and coiled-coil domain-containing protein 3	4	4	3.87E+06	4.45E+06	3.17E+06	2.74E+06	5.63E+06	6.25E+06	3.90E+06
Q8BQM8	EMAL5_MOUSE	Eml5	Echinoderm microtubule-associated protein-like 5	46	37	1.90E+07	1.65E+07	1.86E+07	1.39E+07	1.99E+07	2.08E+07	1.83E+07
Q8BQM9;Q8BQM9-2	MD12L_MOUSE	Med12l	Mediator of RNA polymerase II transcription subunit 12-like protein	8	8	81947.7	55467.8	76846.8	28562	104302	50884.1	59616.7
Q8BQP8	RFIP4_MOUSE	Rab11fip4	Rab11 family-interacting protein 4	5	5	206918	233544	234590		213994	267888	215813
Q8BQP9	R7BP_MOUSE	Rgs7bp	Regulator of G-protein signaling 7-binding protein	10	10	9.32E+07	9.31E+07	8.33E+07	7.37E+07	1.03E+08	9.43E+07	9.73E+07
Q8BQQ1	ZDH14_MOUSE	Zdhhc14	Palmitoyltransferase ZDHHC14	6	6	802437	888926	827994	575725	992882	844261	1.14E+06
Q8BQR4;Q8BQR4-2	KANL2_MOUSE	Kansl2	KAT8 regulatory NSL complex subunit 2	2	2	68796	48686.9	139480	69312.9	60272	80796.6	
Q8BQS4	F102B_MOUSE	Fam102b	Protein FAM102B	6	6	35250.6		43281.2		38725.9	65910	29805
Q8BQU3	SDHF3_MOUSE	Sdhaf3	"Succinate dehydrogenase assembly factor 3, mitochondrial"	4	4	657668	811865	755394	623853	652119	1.07E+06	912994
Q8BQU6	CXG2_MOUSE	Gjc2	Gap junction gamma-2 protein	6	6	2.39E+06	1.65E+06	1.84E+06	2.00E+06	2.27E+06	2.40E+06	2.09E+06
Q8BQU7	TMM74_MOUSE	Tmem74	Transmembrane protein 74	2	2	3.01E+06	2.69E+06	1.87E+06	1.58E+06	2.95E+06	2.95E+06	2.37E+06
Q8BQX5	TMCO6_MOUSE	Tmco6	Transmembrane and coiled-coil domain-containing protein 6	1	1	24545.4	34177.4	22161.8	25742.7	23282.5		43276
Q8BQZ4	RLGPB_MOUSE	Ralgapb	Ral GTPase-activating protein subunit beta	65	65	8.81E+07	8.52E+07	8.68E+07	6.20E+07	8.81E+07	9.81E+07	9.59E+07
Q8BQZ5	CPSF4_MOUSE	Cpsf4	Cleavage and polyadenylation specificity factor subunit 4	7	7	1.93E+07	2.14E+07	2.00E+07	1.40E+07	2.11E+07	2.05E+07	1.97E+07
Q8BQZ5-2;Q8BQZ5-3	CPSF4_MOUSE	Cpsf4	Isoform 2 of Cleavage and polyadenylation specificity factor subunit 4	1	1	339628	330264	338158	205413	355836	337216	343310
Q8BR07;Q8BR07-3;Q8BR07-4	BICD1_MOUSE	Bicd1	Protein bicaudal D homolog 1	17	17	1.13E+06	1.12E+06	1.16E+06	739516	1.15E+06	1.26E+06	1.29E+06
Q8BR37	NHLC1_MOUSE	Nhlrc1	E3 ubiquitin-protein ligase NHLRC1	5	5	884568	856643		534742	722016	950692	772395
Q8BR63	F177A_MOUSE	Fam177a1	Protein FAM177A1	12	12	1.62E+07	1.51E+07	1.15E+07	1.15E+07	1.71E+07	1.63E+07	1.58E+07
Q8BR65	SDS3_MOUSE	Suds3	Sin3 histone deacetylase corepressor complex component SDS3	6	6	716641	411988	608676	369462	680425	690363	581626
Q8BR70	YIPF6_MOUSE	Yipf6	Protein YIPF6	4	4	945943	853835	1.01E+06	549170	779536	1.50E+06	850489
Q8BR76	MKS3_MOUSE	Tmem67	Meckelin	6	6	282962	469555	556309	305303	511261	546535	530969
Q8BR86;Q8BR86-4;Q8BR86-2	KIRR3_MOUSE	Kirrel3	Kin of IRRE-like protein 3	15	15	3.69E+07	4.85E+07	4.90E+07	3.32E+07	4.77E+07	5.74E+07	6.29E+07
Q8BR90	RIMC1_MOUSE	Rimoc1	RAB7A-interacting MON1-CCZ1 complex subunit 1	10	10	1.51E+08	1.63E+08	1.53E+08	1.06E+08	1.51E+08	1.84E+08	1.78E+08
Q8BR92	PALM2_MOUSE	Palm2	Paralemmin-2	19	19	4.19E+07	3.75E+07	3.66E+07	2.79E+07	3.70E+07	4.27E+07	3.86E+07
Q8BRF7	SCFD1_MOUSE	Scfd1	Sec1 family domain-containing protein 1	30	30	5.09E+07	4.80E+07	4.85E+07	3.37E+07	4.86E+07	5.15E+07	5.11E+07
Q8BRG8;Q8BRG8-2	TM209_MOUSE	Tmem209	Transmembrane protein 209	10	10	355406	401904	378890	274374	428843	407220	395984
Q8BRH0	TMTC3_MOUSE	Tmtc3	Protein O-mannosyl-transferase TMTC3	15	15	1.41E+07	1.43E+07	1.19E+07	8.84E+06	1.38E+07	1.41E+07	1.56E+07
Q8BRJ3	RELL2_MOUSE	Rell2	RELT-like protein 2	10	10	7.45E+06	6.96E+06	7.43E+06	4.90E+06	7.28E+06	8.31E+06	8.13E+06
Q8BRJ4	PPR3E_MOUSE	Ppp1r3e	Protein phosphatase 1 regulatory subunit 3E	4	4	419311	278767	396120	333533	465339	501939	372310
Q8BRK8	AAPK2_MOUSE	Prkaa2	5'-AMP-activated protein kinase catalytic subunit alpha-2	18	18	2.66E+07	2.20E+07	2.60E+07	1.88E+07	2.28E+07	2.52E+07	2.46E+07
Q8BRK9	MA2A2_MOUSE	Man2a2	Alpha-mannosidase 2x	20	19	4.61E+06	4.77E+06	4.36E+06	3.30E+06	4.95E+06	5.14E+06	5.06E+06
Q8BRM2	GORAB_MOUSE	Gorab	RAB6-interacting golgin	9	9	3.00E+06	3.58E+06	2.56E+06	1.89E+06	2.70E+06	3.42E+06	3.03E+06
Q8BRN9	C2D1B_MOUSE	Cc2d1b	Coiled-coil and C2 domain-containing protein 1B	26	26	1.55E+07	1.52E+07	1.42E+07	1.06E+07	1.67E+07	1.62E+07	1.72E+07
Q8BRT1	CLAP2_MOUSE	Clasp2	CLIP-associating protein 2	70	70	3.24E+07	3.18E+07	3.04E+07	2.28E+07	3.35E+07	3.45E+07	3.40E+07
Q8BRT1-5	CLAP2_MOUSE	Clasp2	Isoform 2 of CLIP-associating protein 2	5	5	1.45E+06	1.16E+06	1.42E+06	1.08E+06	1.71E+06	1.57E+06	1.75E+06
Q8BRU6	VMAT2_MOUSE	Slc18a2	Synaptic vesicular amine transporter	2	2	661175	803887	610106	467458	887266	824986	702983
Q8BRV5	K1671_MOUSE	Kiaa1671	Uncharacterized protein KIAA1671	15	15	2.05E+07	2.12E+07	1.95E+07	1.68E+07	2.10E+07	2.32E+07	2.12E+07
Q8BS39;Q8BS39-2	CCD32_MOUSE	Ccdc32	Coiled-coil domain-containing protein 32	2	2	820807	881281	477153	374359	921011	832963	832939
Q8BS40	CPTP_MOUSE	Cptp	Ceramide-1-phosphate transfer protein	7	7	1.68E+06	1.60E+06	1.56E+06	1.09E+06	1.41E+06	1.91E+06	1.69E+06
Q8BS45	IFT56_MOUSE	Ttc26	Intraflagellar transport protein 56	13	13	5.73E+06	5.14E+06	4.73E+06	2.55E+06	5.33E+06	6.41E+06	5.07E+06
Q8BS95	GPHR_MOUSE	Gpr89	Golgi pH regulator	7	7	4.18E+06	4.78E+06	3.23E+06	2.67E+06	4.49E+06	4.48E+06	4.35E+06
Q8BSA9	TYW3_MOUSE	Tyw3	tRNA wybutosine-synthesizing protein 3 homolog	3	3	2.59E+06	3.11E+06	2.58E+06	1.94E+06	3.50E+06	3.52E+06	3.36E+06
Q8BSD5	SHE_MOUSE	She	SH2 domain-containing adapter protein E	3	3	55770.3	46805.1	82261.6	44925.7		66158.2	62168.5
Q8BSE0	RMD2_MOUSE	Rmdn2	Regulator of microtubule dynamics protein 2	12	12	1.99E+07	1.65E+07	1.57E+07	1.32E+07	1.80E+07	2.12E+07	2.13E+07
Q8BSF4	PISD_MOUSE	Pisd	"Phosphatidylserine decarboxylase proenzyme, mitochondrial"	14	14	7.16E+06	6.59E+06	6.47E+06	4.84E+06	6.76E+06	7.93E+06	8.09E+06
Q8BSI6	R3HC1_MOUSE	R3hcc1	R3H and coiled-coil domain-containing protein 1	12	12	704662	616460	587689	427226	635070	777982	603634
Q8BSK8	KS6B1_MOUSE	Rps6kb1	Ribosomal protein S6 kinase beta-1	10	10	1.97E+06	2.04E+06	1.92E+06	1.40E+06	1.85E+06	2.46E+06	2.02E+06
Q8BSL7	ARF2_MOUSE	Arf2	ADP-ribosylation factor 2	9	3	1.19E+09	1.08E+09	1.09E+09	7.65E+08	1.11E+09	1.12E+09	1.11E+09
Q8BSN5	PHF23_MOUSE	Phf23	PHD finger protein 23	2	2	461038	335497	531140	426848	528821	760510	815398
Q8BSQ9;Q8BSQ9-2	PB1_MOUSE	Pbrm1	Protein polybromo-1	33	33	9.31E+06	9.33E+06	9.70E+06	6.63E+06	1.13E+07	1.12E+07	1.03E+07
Q8BSS9	LIPA2_MOUSE	Ppfia2	Liprin-alpha-2	62	62	1.12E+08	1.24E+08	1.16E+08	8.85E+07	1.32E+08	1.39E+08	1.32E+08
Q8BST6	PELI2_MOUSE	Peli2	E3 ubiquitin-protein ligase pellino homolog 2	6	6	683551	773408	790420	574459	810767	757334	766889
Q8BSY0	ASPH_MOUSE	Asph	Aspartyl/asparaginyl beta-hydroxylase	19	19	7.01E+06	7.99E+06	7.17E+06	6.23E+06	9.12E+06	9.72E+06	9.47E+06
Q8BSY0-3	ASPH_MOUSE	Asph	Isoform 3 of Aspartyl/asparaginyl beta-hydroxylase	1	1	4.33E+06	4.51E+06	3.62E+06	2.92E+06	5.89E+06	4.55E+06	6.11E+06
Q8BSZ2	AP3S2_MOUSE	Ap3s2	AP-3 complex subunit sigma-2	9	9	1.08E+07	1.14E+07	1.18E+07	8.33E+06	1.23E+07	1.29E+07	1.38E+07
Q8BT14-2	CNOT4_MOUSE	Cnot4	Isoform 2 of CCR4-NOT transcription complex subunit 4	17	17	6.45E+06	6.22E+06	5.43E+06	3.63E+06	5.90E+06	7.15E+06	7.29E+06
Q8BT51	COA4_MOUSE	COA4	"Cytochrome c oxidase assembly factor 4 homolog, mitochondrial"	2	2	22357.8	55706.1	39067.9		61631.5	49507.7	119885
Q8BT60	CPNE3_MOUSE	Cpne3	Copine-3	15	14	2.08E+07	1.96E+07	1.86E+07	1.24E+07	2.00E+07	2.37E+07	2.11E+07
Q8BTC1	BWNIN_MOUSE	Brawnin	Protein BRAWNIN	2	2				64751.3	138280		165847
Q8BTE0	SDHF4_MOUSE	Sdhaf4	"Succinate dehydrogenase assembly factor 4, mitochondrial"	2	2	2.36E+06	2.16E+06	2.61E+06	632416	2.29E+06	2.64E+06	2.48E+06
Q8BTE5	CEBOS_MOUSE	Cebpzos	Protein CEBPZOS	5	5	1.41E+06	1.47E+06	1.37E+06	858259	1.38E+06	1.31E+06	1.32E+06
Q8BTF7	DNLI4_MOUSE	Lig4	DNA ligase 4	3	3	42250	24137.8	29353.7	29223.6	40127.7	40883.4	49494.7
Q8BTF8	RALYL_MOUSE	Ralyl	RNA-binding Raly-like protein	12	12	5.43E+06	5.19E+06	4.81E+06	3.42E+06	4.96E+06	5.15E+06	5.09E+06
